iter	Passed	Remaining
764	47727	14661
765	47795	14600
766	47864	14540
767	47949	14484
768	48005	14420
769	48047	14351
770	48092	14284
771	48157	14222
772	48226	14162
773	48288	14099
774	48350	14037
775	48428	13979
776	48497	13918
777	48569	13859
778	48639	13798
779	48719	13741
780	48757	13672
781	48821	13610
782	48893	13550
783	48967	13490
784	49033	13429
785	49081	13363
786	49123	13295
787	49170	13228
788	49239	13167
789	49311	13108
790	49374	13045
791	49451	12987
792	49516	12925
793	49576	12862
794	49646	12802
795	49714	12741
796	49785	12680
797	49846	12617
798	49910	12555
799	49972	12493
800	50039	12431
801	50114	12372
802	50176	12309
803	50216	12241
804	50264	12175
805	50331	12114
806	50406	12055
807	50489	11997
808	50593	11944
809	50668	11885
810	50730	11822
811	50786	11758
812	50870	11700
813	50978	11648
814	51029	11583
815	51088	11520
816	51142	11455
817	51209	11393
818	51260	11328
819	51312	11263
820	51367	11199
821	51459	11143
822	51527	11081
823	51605	11022
824	51678	10962
825	51755	10902
826	51829	10842
827	51913	10784
828	51995	10725
829	52064	10663
830	52128	10601
831	52184	10537
832	52239	10473
833	52295	10408
834	52349	10344
835	52418	10283
836	52489	10222
837	52559	10160
838	52634	10100
839	52708	10039
840	52778	9978
841	52854	9918
842	52926	9857
843	52997	9795
844	53068	9734
845	53159	9676
846	53253	9619
847	53327	9558
848	53397	9497
849	53468	9435
850	53544	9375
851	53620	9314
852	53689	9252
853	53763	9191
854	53838	9130
855	53915	9069
856	53989	9008
857	54058	8946
858	54124	8884
859	54173	8818
860	54217	8752
861	54274	8688
862	54343	8626
863	54426	8567
864	54510	8507
865	54561	8442
866	54607	8376
867	54662	8312
868	54762	8255
869	54844	8195
870	54903	8131
871	54952	8066
872	54994	8000
873	55053	7936
874	55122	7874
875	55222	7816
876	55283	7753
877	55337	7689
878	55404	7626
879	55505	7568
880	55569	7505
881	55632	7442
882	55682	7378
883	55731	7313
884	55790	7249
885	55847	7185
886	55923	7124
887	55994	7062
888	56056	6999
889	56134	6937
890	56209	6876
891	56285	6814
892	56358	6752
893	56431	6690
894	56504	6628
895	56577	6567
896	56643	6504
897	56707	6441
898	56750	6375
899	56792	6310
900	56837	6245
901	56923	6184
902	56995	6122
903	57040	6057
904	57082	5992
905	57121	5926
906	57159	5860
907	57202	5795
908	57241	5730
909	57282	5665
910	57321	5599
911	57364	5535
912	57421	5471
913	57481	5408
914	57547	5345
915	57610	5283
916	57688	5221
917	57750	5158
918	57794	5093
919	57843	5029
920	57884	4965
921	57933	4901
922	57994	4838
923	58058	4775
924	58126	4712
925	58196	4650
926	58267	4588
927	58333	4525
928	58394	4462
929	58466	4400
930	58538	4338
931	58598	4275
932	58662	4212
933	58733	4150
934	58806	4088
935	58887	4026
936	58934	3962
937	58976	3898
938	59028	3834
939	59085	3771
940	59157	3709
941	59226	3646
942	59295	3584
943	59366	3521
944	59425	3458
945	59495	3396
946	59567	3333
947	59640	3271
948	59710	3208
949	59772	3145
950	59845	3083
951	59910	3020
952	59992	2958
953	60033	2894
954	60081	2831
955	60145	2768
956	60217	2705
957	60279	2642
958	60342	2579
959	60401	2516
960	60473	2454
961	60539	2391
962	60610	2328
963	60684	2266
964	60752	2203
965	60821	2140
966	60888	2077
967	60955	2015
968	61012	1951
969	61071	1888
970	61120	1825
971	61175	1762
972	61246	1699
973	61310	1636
974	61378	1573
975	61442	1510
976	61516	1448
977	61590	1385
978	61661	1322
979	61737	1259
980	61803	1197
981	61878	1134
982	61952	1071
983	62018	1008
984	62066	945
985	62104	881
986	62144	818
987	62202	755
988	62240	692
989	62278	629
990	62322	565
991	62383	503
992	62455	440
993	62521	377
994	62568	314
995	62632	251
996	62690	188
997	62750	125
998	62818	62
999	62885	0
