batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
32,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,39.0,3.089511
28,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,41.0,3.62874
24,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,37.0,3.165481
20,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,45.0,4.06638
16,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,55.0,3.837037
12,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,58.0,4.343892
8,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,70.0,4.75122
4,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,109.0,4.374312
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,45.0,3.201434
64,12000,0.0003,0.001,0.2,0.99,4,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,39.0,3.840083
64,12000,0.0003,0.001,0.2,0.99,5,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,4.090435
64,12000,0.0003,0.001,0.2,0.99,6,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,42.0,4.25134
64,12000,0.0003,0.001,0.2,0.99,7,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,44.0,4.226223
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,722.0,100.000015
64,12000,0.0006,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,798.0,100.000015
64,12000,0.00015,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,912.0,100.000015
64,12000,0.0012,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,752.0,100.000015
64,12000,0.0024,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,737.0,100.000015
64,12000,0.0048,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,644.0,100.000015
64,12000,0.0048,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,817.0,100.000015
64,12000,0.0048,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1038.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,766.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,697.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,685.0,98.030784
64,12000,0.0003,0.001,0.2,0.99,3,34.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,677.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,34.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,702.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,34.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,822.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,860.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,675.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,803.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,922.0,96.191681
64,12000,0.0003,0.001,0.2,0.99,3,256.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,850.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,816.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,250000.0,0.99,True,12.0,31.49,364.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,250000.0,0.99,True,12.0,31.49,352.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,250000.0,0.99,True,12.0,31.49,359.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,125000.0,0.99,True,12.0,31.49,194.0,75.768761
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,125000.0,0.99,True,12.0,31.49,198.0,83.364299
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,125000.0,0.99,True,12.0,31.49,188.0,85.500013
32,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,780.0,100.000015
32,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,860.0,100.000015
32,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,901.0,100.000015
16,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1109.0,100.000015
16,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1094.0,100.000015
16,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1017.0,100.000015
