run_id,Time Elapsed/s,3DBall.Environment.CumulativeReward.mean,batch_size,learning_rate,CPU Model,Operating System,GPU Model,buffer_size,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,timestamp,CPU Cores,CPU Frequency,Total RAM,DRL Algorithm Used,lambda,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon
max-hiddenunits512-config1-0,705.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T22:13:52Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,500000.0,1000.0
max-hiddenunits512-config1-0,658.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T22:25:46Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,500000.0,1000.0
max-hiddenunits512-config1-1,520.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T22:36:56Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,500000.0,1000.0
max-hiddenunits512-config1-2,544.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T22:45:43Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,500000.0,1000.0
max-hiddenunits16-config2-0,125.0,2.723567,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:06:59Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,3.0,0.99,100000.0,1000.0
max-hiddenunits16-config2-1,124.0,6.596796,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:09:09Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,3.0,0.99,100000.0,1000.0
max-hiddenunits16-config2-2,129.0,3.424528,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:11:17Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,3.0,0.99,100000.0,1000.0
max-hiddenunits32-config2-0,113.0,14.315587,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:13:31Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,32.0,3.0,0.99,100000.0,1000.0
max-hiddenunits32-config2-1,130.0,9.749075,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:15:29Z,14.0,1496.00 MHz,15.63 GB,PPO,0.99,True,32.0,3.0,0.99,100000.0,1000.0
max-hiddenunits32-config2-2,118.0,11.831113,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:17:43Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,32.0,3.0,0.99,100000.0,1000.0
max-hiddenunits64-config2-0,122.0,50.478269,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:19:45Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,3.0,0.99,100000.0,1000.0
max-hiddenunits64-config2-1,123.0,21.698117,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:21:51Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,3.0,0.99,100000.0,1000.0
max-hiddenunits64-config2-2,130.0,28.174363,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:23:59Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,3.0,0.99,100000.0,1000.0
max-hiddenunits128-config2-0,139.0,36.537506,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:26:13Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,3.0,0.99,100000.0,1000.0
max-hiddenunits128-config2-1,140.0,38.036673,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:28:37Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,3.0,0.99,100000.0,1000.0
max-hiddenunits128-config2-2,134.0,53.866675,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:31:01Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,3.0,0.99,100000.0,1000.0
max-hiddenunits256-config2-0,141.0,50.675007,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:33:19Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,3.0,0.99,100000.0,1000.0
max-hiddenunits256-config2-1,143.0,38.920696,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:35:44Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,3.0,0.99,100000.0,1000.0
max-hiddenunits256-config2-2,140.0,43.825007,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:38:11Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,3.0,0.99,100000.0,1000.0
max-hiddenunits512-config2-0,167.0,56.185724,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:40:35Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,3.0,0.99,100000.0,1000.0
max-hiddenunits512-config2-1,163.0,78.920012,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:43:27Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,3.0,0.99,100000.0,1000.0
max-hiddenunits512-config2-2,199.0,33.605561,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T23:46:15Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,3.0,0.99,100000.0,1000.0
max-hiddenunits16-config3-0,210.0,1.97282,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:30:06Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,1.0,0.99,100000.0,1000.0
max-hiddenunits16-config3-1,194.0,2.220222,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:33:42Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,1.0,0.99,100000.0,1000.0
max-hiddenunits16-config3-2,195.0,2.020833,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:37:02Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,16.0,1.0,0.99,100000.0,1000.0
max-hiddenunits32-config3-0,125.0,2.812704,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:43:23Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,32.0,1.0,0.99,100000.0,1000.0
max-hiddenunits32-config3-1,201.0,3.727309,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:45:33Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,32.0,1.0,0.99,100000.0,1000.0
max-hiddenunits32-config3-2,195.0,4.334842,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:49:01Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,32.0,1.0,0.99,100000.0,1000.0
max-hiddenunits64-config3-0,192.0,6.885907,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:52:21Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,100000.0,1000.0
max-hiddenunits64-config3-1,192.0,9.866057,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:55:39Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,100000.0,1000.0
max-hiddenunits64-config3-2,258.0,4.420738,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T15:59:01Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,100000.0,1000.0
max-hiddenunits128-config3-0,285.0,4.868501,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:03:34Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,100000.0,1000.0
max-hiddenunits128-config3-1,272.0,6.202455,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:08:31Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,100000.0,1000.0
max-hiddenunits128-config3-2,276.0,4.738648,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:13:09Z,14.0,1496.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,100000.0,1000.0
max-hiddenunits256-config3-0,293.0,7.296504,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:18:00Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,100000.0,1000.0
max-hiddenunits256-config3-1,295.0,4.250893,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:23:07Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,100000.0,1000.0
max-hiddenunits256-config3-2,282.0,7.004055,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:28:16Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,100000.0,1000.0
max-hiddenunits512-config3-0,294.0,12.368891,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:33:11Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,100000.0,1000.0
max-hiddenunits512-config3-1,292.0,7.442858,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:38:18Z,14.0,1496.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,100000.0,1000.0
max-hiddenunits512-config3-2,303.0,9.630632,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T16:43:24Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,512.0,1.0,0.99,100000.0,1000.0
max-lambda0.85-config1-0,864.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T21:51:52Z,14.0,2600.00 MHz,15.63 GB,PPO,0.85,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.875-config1-0,679.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T22:06:22Z,14.0,2600.00 MHz,15.63 GB,PPO,0.875,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.9-config1-0,616.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T22:17:53Z,14.0,2600.00 MHz,15.63 GB,PPO,0.9,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.925-config1-0,709.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T22:28:18Z,14.0,2600.00 MHz,15.63 GB,PPO,0.925,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.95-config1-0,642.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T22:40:18Z,14.0,2600.00 MHz,15.63 GB,PPO,0.95,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.975-config1-0,557.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T22:51:08Z,14.0,2600.00 MHz,15.63 GB,PPO,0.975,True,64.0,1.0,0.99,500000.0,1000.0
max-lambda0.85-config3-0,119.0,2.152989,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:01:56Z,14.0,2600.00 MHz,15.63 GB,PPO,0.85,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.85-config3-1,128.0,2.625776,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:03:59Z,14.0,2600.00 MHz,15.63 GB,PPO,0.85,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.85-config3-2,125.0,1.689535,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:06:12Z,14.0,2600.00 MHz,15.63 GB,PPO,0.85,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.875-config3-0,125.0,3.621961,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:08:22Z,14.0,2600.00 MHz,15.63 GB,PPO,0.875,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.875-config3-1,123.0,2.45638,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:10:32Z,14.0,2600.00 MHz,15.63 GB,PPO,0.875,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.875-config3-2,120.0,2.313105,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:12:40Z,14.0,2600.00 MHz,15.63 GB,PPO,0.875,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.9-config3-0,124.0,3.08125,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:14:45Z,14.0,2600.00 MHz,15.63 GB,PPO,0.9,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.9-config3-1,122.0,3.816394,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:16:54Z,14.0,2600.00 MHz,15.63 GB,PPO,0.9,True,128.0,1.0,0.99,100000.0,1000.0
max-lambda0.9-config3-2,123.0,5.276596,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-30T23:19:01Z,14.0,2600.00 MHz,15.63 GB,PPO,0.9,True,128.0,1.0,0.99,100000.0,1000.0
