TimeElapsed,CumulativeReward
33.0,84.84287
68.0,85.478584
46.0,89.128585
36.0,77.681262
32.0,3.104895
35.0,3.605883
35.0,4.910101
37.0,2.893
36.0,3.051211
40.0,4.581043
36.0,3.123944
39.0,3.089511
41.0,3.62874
37.0,3.165481
45.0,4.06638
55.0,3.837037
58.0,4.343892
70.0,4.75122
109.0,4.374312
45.0,3.201434
39.0,3.840083
35.0,4.090435
42.0,4.25134
44.0,4.226223
275.0,77.333345
277.0,77.968762
275.0,90.623091
275.0,82.135727
277.0,100.000015
273.0,80.806679
274.0,93.769245
277.0,71.116678
272.0,74.993345
274.0,73.526678
276.0,57.831827
273.0,74.543761
278.0,95.776938
275.0,69.352951
275.0,89.200014
276.0,75.025011
276.0,93.638475
275.0,71.24707
274.0,79.080012
273.0,75.480011
273.0,81.264298
275.0,91.407706
277.0,91.057157
276.0,83.533346
272.0,84.300013
263.0,74.231261
284.0,87.338475
270.0,88.738475
268.0,70.035305
269.0,69.900009
270.0,78.326678
270.0,98.083349
271.0,70.600011
266.0,64.10001
272.0,92.623091
271.0,68.361122
260.0,90.157157
283.0,70.941187
282.0,74.429423
283.0,84.321441
283.0,48.324007
283.0,75.525012
280.0,77.800012
283.0,93.223092
267.0,80.578584
280.0,74.625012
283.0,58.80001
280.0,62.163167
283.0,82.62668
278.0,76.881262
277.0,63.947378
286.0,61.89001
284.0,92.461553
277.0,81.228583
294.0,75.900012
281.0,58.842114
279.0,92.130784
281.0,80.493346
281.0,77.393345
276.0,57.230009
285.0,75.406262
279.0,77.218761
279.0,68.950011
278.0,59.495009
275.0,74.025011
277.0,65.97648
276.0,61.110536
278.0,53.452183
281.0,82.514298
284.0,50.960878
281.0,72.064717
281.0,64.572232
271.0,78.066679
277.0,84.907156
276.0,57.884219
278.0,81.957155
283.0,61.71001
281.0,48.912008
245.0,51.96819
278.0,57.29501
280.0,41.856673
275.0,69.776482
282.0,65.382363
281.0,75.043762
282.0,49.204174
279.0,61.352641
281.0,54.777281
281.0,45.285721
281.0,81.226679
282.0,72.694128
280.0,51.900008
279.0,58.647377
276.0,60.90001
279.0,53.581826
282.0,63.78422
279.0,84.24287
279.0,76.043761
281.0,75.431261
277.0,89.076936
278.0,57.947628
281.0,46.750007
281.0,41.365523
281.0,59.331587
282.0,57.795463
277.0,58.020009
279.0,53.481827
276.0,86.085727
278.0,70.317658
282.0,25.367395
289.0,59.994746
283.0,35.418187
277.0,64.805273
