run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
max-hiddenunits512-config1-0,2025-11-28T22:13:52Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,500000.0,1000.0,100.000015,705.0
max-hiddenunits512-config1-0,2025-11-28T22:25:46Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,500000.0,1000.0,100.000015,658.0
max-hiddenunits512-config1-1,2025-11-28T22:36:56Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,500000.0,1000.0,100.000015,520.0
max-hiddenunits512-config1-2,2025-11-28T22:45:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,500000.0,1000.0,100.000015,544.0
max-hiddenunits16-config2-0,2025-11-28T23:06:59Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,3.0,0.99,100000.0,1000.0,2.723567,125.0
max-hiddenunits16-config2-1,2025-11-28T23:09:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,3.0,0.99,100000.0,1000.0,6.596796,124.0
max-hiddenunits16-config2-2,2025-11-28T23:11:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,3.0,0.99,100000.0,1000.0,3.424528,129.0
max-hiddenunits32-config2-0,2025-11-28T23:13:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,3.0,0.99,100000.0,1000.0,14.315587,113.0
max-hiddenunits32-config2-1,2025-11-28T23:15:29Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,3.0,0.99,100000.0,1000.0,9.749075,130.0
max-hiddenunits32-config2-2,2025-11-28T23:17:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,3.0,0.99,100000.0,1000.0,11.831113,118.0
max-hiddenunits64-config2-0,2025-11-28T23:19:45Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,3.0,0.99,100000.0,1000.0,50.478269,122.0
max-hiddenunits64-config2-1,2025-11-28T23:21:51Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,3.0,0.99,100000.0,1000.0,21.698117,123.0
max-hiddenunits64-config2-2,2025-11-28T23:23:59Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,3.0,0.99,100000.0,1000.0,28.174363,130.0
max-hiddenunits128-config2-0,2025-11-28T23:26:13Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,3.0,0.99,100000.0,1000.0,36.537506,139.0
max-hiddenunits128-config2-1,2025-11-28T23:28:37Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,3.0,0.99,100000.0,1000.0,38.036673,140.0
max-hiddenunits128-config2-2,2025-11-28T23:31:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,3.0,0.99,100000.0,1000.0,53.866675,134.0
max-hiddenunits256-config2-0,2025-11-28T23:33:19Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,3.0,0.99,100000.0,1000.0,50.675007,141.0
max-hiddenunits256-config2-1,2025-11-28T23:35:44Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,3.0,0.99,100000.0,1000.0,38.920696,143.0
max-hiddenunits256-config2-2,2025-11-28T23:38:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,3.0,0.99,100000.0,1000.0,43.825007,140.0
max-hiddenunits512-config2-0,2025-11-28T23:40:35Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,3.0,0.99,100000.0,1000.0,56.185724,167.0
max-hiddenunits512-config2-1,2025-11-28T23:43:27Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,3.0,0.99,100000.0,1000.0,78.920012,163.0
max-hiddenunits512-config2-2,2025-11-28T23:46:15Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,3.0,0.99,100000.0,1000.0,33.605561,199.0
max-hiddenunits16-config3-0,2025-11-30T15:30:06Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,100000.0,1000.0,1.97282,210.0
max-hiddenunits16-config3-1,2025-11-30T15:33:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,100000.0,1000.0,2.220222,194.0
