batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,480.0,92.35386
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,544.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,450.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,757.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,762.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,583.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,782.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,744.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,1351.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,705.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,658.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,520.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,544.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,125.0,2.723567
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,124.0,6.596796
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,129.0,3.424528
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,113.0,14.315587
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,130.0,9.749075
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,118.0,11.831113
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,122.0,50.478269
