run_id,timestamp,cpu_model,cpu_cores,cpu_frequency,total_ram,gpu_model,operating_system,drl_algorithm,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,cumulative_reward_mean,time_elapased_seconds
run_batch_size101_buffer_size21700,2026-01-14T13:46:57Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.453404,27.000
run_batch_size126_buffer_size100,2026-01-14T13:47:27Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,3.954622,24.000
run_batch_size126_buffer_size2500,2026-01-14T13:47:54Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,68.282364,27.000
run_batch_size126_buffer_size4900,2026-01-14T13:48:24Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,8.690245,25.000
run_batch_size126_buffer_size7300,2026-01-14T13:48:52Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,3.329259,26.000
run_batch_size126_buffer_size9700,2026-01-14T13:49:21Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.835738,26.000
run_batch_size126_buffer_size12100,2026-01-14T13:49:50Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.776978,26.000
run_batch_size126_buffer_size14500,2026-01-14T13:50:19Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.774101,25.000
run_batch_size126_buffer_size16900,2026-01-14T13:50:47Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.514348,25.000
run_batch_size126_buffer_size19300,2026-01-14T13:51:15Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.351633,25.000
